SubjectID	Time	GroupSize	Survivors	Offspring	LaggedUnavailable	OffspringLagged	GroupSizeLagged
9	9	2	1	0	0	0	6
10	1	2	2	2	1	NA	NA
10	2	4	3	1	0	2	2
10	3	3	2	2	0	1	4
10	4	6	6	0	0	2	3
10	5	4	4	0	0	0	6
10	6	4	3	0	0	0	4
10	7	3	2	0	0	0	4
10	8	2	1	0	0	0	3
10	9	2	2	0	0	0	2
11	1	2	2	0	1	NA	NA
11	2	2	2	0	0	0	2
11	3	2	2	2	0	0	2
11	4	3	3	1	0	2	2
11	5	4	3	2	0	1	3
11	6	4	2	0	0	2	4
11	7	3	3	0	0	0	4
11	8	3	1	0	0	0	3
11	9	2	1	0	0	0	3
12	1	2	2	2	1	NA	NA
12	2	4	3	0	0	2	2
12	3	3	3	3	0	0	4
12	4	4	4	0	0	3	3
12	5	4	2	0	0	0	4
12	6	3	2	2	0	0	4
12	7	4	4	0	0	2	3
12	8	4	4	0	0	0	4
12	9	4	2	0	0	0	4
13	1	3	1	0	1	NA	NA
13	2	2	2	0	0	0	3
13	3	2	2	0	0	0	2
13	4	2	2	0	0	0	2
13	5	2	2	0	0	0	2
13	6	3	2	0	0	0	2
13	7	3	1	0	0	0	3
14	1	4	4	1	1	NA	NA
14	2	5	3	1	0	1	4
14	3	5	5	0	0	1	5
14	4	6	5	0	0	0	5
14	5	5	4	0	0	0	6
14	6	5	4	2	0	0	5
14	8	4	1	1	1	NA	NA
14	9	3	2	0	0	1	4
15	1	3	1	2	1	NA	NA
15	2	4	4	0	0	2	3
15	3	3	2	0	0	0	4
15	4	2	1	1	0	0	3
15	5	4	2	1	0	1	2
15	6	3	1	0	0	1	4
15	7	3	1	0	0	0	3
15	8	2	1	0	0	0	3
16	1	3	3	0	1	NA	NA
16	2	3	2	0	0	0	3
16	3	2	2	0	0	0	3
16	4	2	0	0	0	0	2
17	1	2	2	1	1	NA	NA
17	2	3	3	0	0	1	2
17	3	3	3	1	0	0	3
17	4	4	2	0	0	1	3
17	5	3	3	1	0	0	4
17	6	4	3	1	0	1	3
17	7	4	3	0	0	1	4
17	8	3	3	0	0	0	4
17	9	3	3	0	0	0	3
18	1	7	6	0	1	NA	NA
18	2	4	2	1	0	0	7
18	3	3	3	0	0	1	4
18	4	3	3	0	0	0	3
18	5	2	2	0	0	0	3
18	6	2	2	1	0	0	2
18	7	4	2	2	0	1	2
18	8	4	3	1	0	2	4
18	9	4	3	1	0	1	4
19	1	3	1	1	1	NA	NA
19	2	4	3	0	0	1	3
19	3	2	0	0	0	0	4
19	4	3	2	1	0	0	2
19	5	3	2	1	0	1	3
19	6	3	1	0	0	1	3
19	9	3	3	0	1	NA	NA
20	1	6	4	1	1	NA	NA
20	2	5	3	1	0	1	6
20	3	4	4	0	0	1	5
20	4	4	4	0	0	0	4
20	5	4	3	2	0	0	4
20	6	4	2	1	0	2	4
20	7	4	3	0	0	1	4
20	8	3	2	0	0	0	4
20	9	2	2	0	0	0	3
21	1	5	4	0	1	NA	NA
21	2	4	3	0	0	0	5
21	3	2	1	0	0	0	4
21	4	2	1	0	0	0	2
21	5	2	1	0	0	0	2
21	6	3	3	0	0	0	2
21	7	3	3	0	0	0	3
21	8	3	2	0	0	0	3
21	9	2	2	0	0	0	3
22	1	2	1	1	1	NA	NA
22	2	4	4	0	0	1	2
22	3	3	2	1	0	0	4
22	4	4	3	0	0	1	3
22	5	3	1	1	0	0	4
22	6	3	1	3	0	1	3
22	7	4	3	0	0	3	3
22	8	3	1	1	0	0	4
22	9	3	3	0	0	1	3
23	1	4	2	0	1	NA	NA
23	2	3	2	2	0	0	4
23	3	4	3	1	0	2	3
23	4	4	2	1	0	1	4
23	5	4	4	0	0	1	4
23	6	4	3	0	0	0	4
23	7	3	3	0	0	0	4
23	8	3	1	0	0	0	3
24	1	3	3	2	1	NA	NA
24	2	5	3	0	0	2	3
24	3	4	4	0	0	0	5
24	4	4	3	0	0	0	4
24	5	3	3	0	0	0	4
24	6	3	2	2	0	0	3
24	7	4	3	0	0	2	3
24	8	3	0	0	0	0	4
24	9	2	2	1	0	0	3
25	1	4	2	0	1	NA	NA
25	2	3	3	1	0	0	4
25	3	4	3	0	0	1	3
25	4	3	2	0	0	0	4
25	5	2	1	0	0	0	3
25	6	3	2	3	0	0	2
25	7	5	2	1	0	3	3
25	8	4	4	0	0	1	5
25	9	3	3	0	0	0	4
26	1	4	3	0	1	NA	NA
26	2	2	2	0	0	0	4
26	3	2	1	0	0	0	2
26	4	2	1	1	0	0	2
26	5	3	2	0	0	1	2
26	6	3	2	0	0	0	3
27	1	3	3	0	1	NA	NA
27	2	3	2	1	0	0	3
27	3	4	3	0	0	1	3
27	4	4	4	2	0	0	4
27	5	6	3	0	0	2	4
27	6	4	3	2	0	0	6
27	7	4	3	2	0	2	4
27	8	4	1	1	0	2	4
27	9	3	2	1	0	1	4
28	2	5	5	0	1	NA	NA
28	3	5	1	0	0	0	5
28	4	3	3	0	0	0	5
28	5	2	2	0	0	0	3
28	6	2	2	2	0	0	2
28	7	5	4	0	0	2	2
28	8	4	2	0	0	0	5
28	9	4	2	1	0	0	4
29	1	2	2	0	1	NA	NA
29	2	2	2	1	0	0	2
29	3	3	1	0	0	1	2
30	1	6	4	1	1	NA	NA
30	2	5	5	0	0	1	6
30	3	6	5	1	0	0	5
30	5	5	4	1	1	NA	NA
30	6	5	5	0	0	1	5
30	7	6	5	0	0	0	5
30	8	5	2	0	0	0	6
30	9	2	1	0	0	0	5
31	1	4	4	2	1	NA	NA
31	2	5	3	0	0	2	4
31	3	3	2	1	0	0	5
31	4	3	3	1	0	1	3
31	5	4	3	0	0	1	3
31	6	4	3	1	0	0	4
31	7	5	5	0	0	1	4
31	8	5	1	0	0	0	5
31	9	3	3	0	0	0	5
32	1	4	4	1	1	NA	NA
32	2	5	4	2	0	1	4
32	3	5	5	1	0	2	5
32	4	4	2	2	0	1	5
32	5	4	3	1	0	2	4
32	6	4	2	1	0	1	4
32	7	3	2	0	0	1	4
32	8	3	3	0	0	0	3
32	9	3	1	0	0	0	3
33	1	3	3	0	1	NA	NA
33	2	2	2	0	0	0	3
33	3	2	2	0	0	0	2
33	4	2	2	0	0	0	2
33	5	2	2	0	0	0	2
33	6	2	1	1	0	0	2
33	7	3	2	0	0	1	2
33	8	2	1	0	0	0	3
33	9	2	1	0	0	0	2
34	1	5	5	2	1	NA	NA
34	2	7	5	0	0	2	5
34	3	5	4	1	0	0	7
34	4	4	4	0	0	1	5
34	5	4	3	0	0	0	4
34	6	3	0	0	0	0	4
35	1	3	2	2	1	NA	NA
35	2	4	4	0	0	2	3
35	3	5	4	0	0	0	4
35	4	3	2	0	0	0	5
35	5	3	3	1	0	0	3
35	6	4	4	0	0	1	3
35	7	4	3	0	0	0	4
35	8	4	2	0	0	0	4
35	9	2	2	0	0	0	4
36	1	3	3	1	1	NA	NA
36	2	4	4	0	0	1	3
36	3	4	2	0	0	0	4
37	1	5	3	2	1	NA	NA
37	2	4	4	2	0	2	5
37	3	5	3	1	0	2	4
37	4	5	4	0	0	1	5
37	5	4	4	0	0	0	5
37	6	4	3	1	0	0	4
37	7	3	2	0	0	1	4
37	8	3	2	0	0	0	3
